item	kind	data_source	release_unit	data_status	code_status	notes
Figure 1	main figure	deterministic synthetic values generated by script	code repository	not_applicable	ready	Panels A/C/D/E are Illustrator schematics; computational panels are generated without study data.
Figure 2	main figure	Illustrator schematic	manuscript repository	not_applicable	manual_source_unavailable	No quantitative values; original Illustrator source was not present during repository split.
Figure 3	main figure	task-trained 3BFF, MultiTask, and RandomTarget artifacts	Git LFS pretrained/ plus code	ready_via_git_lfs	ready	All three task-trained model/data modules are public, and the figure script resolves them from the repository's pretrained/ directory.
Figure 4	main figure	task-trained checkpoints and data-driven model sweeps	portable NPZ/CSV snapshot	ready_portable_export	ready	Exports the displayed learning traces and aligned 3BFF, MultiTask, and RandomTarget trajectories; the seed-0 RandomTarget LDS selection is explicit, and the accepted panel-A pipeline schematic remains external artwork.
Figure 5	main figure	accepted figure cache	portable CSV snapshot	ready_portable_export	ready	Exports every plotted numerical metric and trace; schematic panels A, D, and I are assembled artwork in the manuscript figure.
Figure 6	main figure	accepted metrics and fixed-point caches	portable CSV/NPZ snapshot	ready_portable_export	ready	Exports the plotted metrics, selected input traces, PCA-projected trajectories, and displayed fixed points; panel A is external artwork.
S1 Fig	supplementary figure	schematic	manuscript repository	not_applicable	manual_source_unavailable	No quantitative values.
S2 Fig	supplementary figure	3BFF task-trained artifact	Git LFS pretrained/ plus code	ready_via_git_lfs	ready	Example trial can be generated from the public 3BFF artifact.
S3 Fig	supplementary figure	MultiTask task-trained artifact	Git LFS pretrained/ plus code	ready_via_git_lfs	ready	Example trials can be generated from the public MultiTask artifact.
S4 Fig	supplementary figure	PhaseCodedMemory TT and DD analyses	portable NPZ/CSV snapshot	ready_portable_export	ready	Exports the numerical TT latent, selected-unit, firing-rate, and spiking panels C--E plus auxiliary DD arrays; accepted panels A--B are assembled artwork.
S5 Fig	supplementary figure	ChaoticDelayedMatching TT and DD analyses	portable NPZ/JSON snapshot	ready_portable_export	ready	Exports the accepted TT task trials, trajectories, perturbation curves, and Lyapunov summary plus the associated DD fit arrays.
S6 Fig	supplementary figure	schematic	manuscript repository	not_applicable	manual_source_unavailable	No quantitative values.
S7 Fig	supplementary figure	schematic	manuscript repository	not_applicable	manual_source_unavailable	No quantitative values.
S8 Fig	supplementary figure	accepted DSA and fixed-point caches	portable CSV/NPZ snapshot	ready_portable_export	ready	Exports both DSA matrices, scatter values, and the four displayed aligned fixed-point panels.
S9 Fig	supplementary figure	accepted nonlinear cycle-consistency cache	portable CSV snapshot	ready_portable_export	ready	Exports model summary, noise curves, and train/validation loss curves.
S10 Fig	supplementary figure	deterministic Lorenz and Rossler integration	code repository	not_applicable	ready	Fully regenerated by lyapunov_spectrum_lorenz.py.
S11 Fig	supplementary figure	accepted NBFF compiled-metrics cache	portable CSV snapshot	ready_portable_export	ready	All plotted model-level metrics are exported.
S12 Fig	supplementary figure	accepted MultiTask compiled-metrics cache	portable CSV snapshot	ready_portable_export	ready	All plotted model-level metrics are exported.
S13 Fig	supplementary figure	accepted RandomTarget compiled-metrics cache	portable CSV snapshot	ready_portable_export	ready	All plotted model-level metrics are exported.
S14 Fig	supplementary figure	accepted PhaseCodedMemory compiled-metrics cache	portable CSV snapshot	ready_portable_export	ready	All plotted model-level metrics are exported.
S15 Fig	supplementary figure	accepted ChaoticDelayedMatching compiled-metrics cache	portable CSV snapshot	ready_portable_export	ready	All plotted model-level metrics are exported.
S16 Fig	supplementary figure	PhaseCodedMemory TT and LFADS analyses	portable NPZ/JSON snapshot	ready_portable_export	ready	Exports displayed firing-rate rasters, PCA trajectories, Rate R2, and State R2 for TT/8D/16D/128D.
S17 Fig	supplementary figure	schematic	manuscript repository	not_applicable	manual_source_unavailable	No quantitative values.
S1-S15 Tables	supporting tables	final PLOS CSV files	portable CSV snapshot	ready_portable_export	ready	export_release_data.py copies the individual table files when --si-dir is supplied.
